,Unnamed: 0,Name,matt_vel,matt_vel_err,kyle_vel,kyle_vel_err,phase,kyle_pvel,kyle_pvel_err,matt_pvel,matt_pvel_err,choice,source,new_vel,new_vel_err,new_vel_unphased,new_vel_err_unphased
161,70,2001en,-12.76,0.04,-12.34,0.08,-0.147071232,-12.32355472,0.234093998,-12.7415751,0.223606798,matt,kaepora,-12.7415751,0.223606798,-12.76,0.04
114,23,2001ep,-10.8,0.12,-10.1,0.03,-0.74380719,-10.07078382,0.222036033,-10.75441055,0.250599282,matt,kaepora,-10.75441055,0.250599282,-10.8,0.12
110,19,2001fe,-11.1,0.05,-11.37,0.05,0.207742337,-11.38696429,0.225610283,-11.11514602,0.225610283,matt,kaepora,-11.11514602,0.225610283,-11.1,0.05
128,37,2001fh,-11,0.13,-10.46,0.11,-2.344981174,-10.34703188,0.245967478,-10.84912001,0.255538647,kyle,kaepora,-10.34703188,0.245967478,-10.46,0.11
213,122,2002aw,-11.19,0.24,-10.39,0.12,-2.018106008,-10.2960893,0.250599282,-11.04727499,0.325576412,matt,kaepora,-11.04727499,0.325576412,-11.19,0.24
237,146,2002bf,-15.13,0.08,-15.51,0.04,0.744741427,-15.67361248,0.223606798,-15.28427593,0.234093998,avg,kaepora,-15.47894421,0.228850398,-15.32,0.06
124,33,2002bo,-13.35,0.08,-13.23,0.03,-1.293394363,-13.05491543,0.222036033,-13.17011758,0.234093998,avg,kaepora,-13.1125165,0.228065016,-13.29,0.055
155,64,2002cd,-15.03,0.07,-14.92,3.35,-0.45300742,-14.83274426,3.357216109,-14.94116278,0.230867928,matt,kaepora,-14.94116278,0.230867928,-15.03,0.07
180,89,2002cr,-10.02,0.09,-10.09,0.03,0.340904583,-10.10375237,0.222036033,-10.03297545,0.237697286,kyle,kaepora,-10.10375237,0.222036033,-10.09,0.03
126,35,2002cs,-13.15,0.17,-13.25,0.08,3.630962886,-13.83242079,0.234093998,-13.71918115,0.278028775,matt,kaepora,-13.71918115,0.278028775,-13.15,0.17
93,2,2002cu,-12.96,0.05,-13.68,0.09,-3.608262906,-13.17733251,0.237697286,-12.53227877,0.225610283,matt,kaepora,-12.53227877,0.225610283,-12.96,0.05
218,127,2002de,-11.68,0.06,-11.44,0.06,-0.639405001,-11.38776945,0.228035085,-11.62292781,0.228035085,avg,kaepora,-11.50534863,0.228035085,-11.56,0.06
195,104,2002dj,-14.04,0.11,-14.13,0.03,-5.354552659,-13.35365566,0.222036033,-13.27689114,0.245967478,avg,kaepora,-13.3152734,0.234001755,-14.085,0.07
138,47,2002dp,-11.58,0.05,-10.8,0.04,-5.663523237,-10.49937999,0.223606798,-11.1590745,0.225610283,matt,kaepora,-11.1590745,0.225610283,-11.58,0.05
133,42,2002eb,-10.12,0.04,-9.87,0.04,1.077866707,-9.906640822,0.223606798,-10.16562963,0.223606798,matt,kaepora,-10.16562963,0.223606798,-10.12,0.04
168,77,2002ef,-11.88,0.12,-11.37,0.07,-3.425737065,-11.11973156,0.230867928,-11.57906326,0.250599282,kyle,kaepora,-11.11973156,0.230867928,-11.37,0.07
184,93,2002el,-10.51,0.06,-9.86,0.12,11.77717276,-10.47642926,0.250599282,-11.52350745,0.228035085,matt,kaepora,,,,
200,109,2002er,-11.68,0.07,-11.66,0.06,0.711822372,-11.72589614,0.228035085,-11.74636531,0.230867928,avg,kaepora,-11.73613073,0.229451506,-11.67,0.065
111,20,2002fk,-9.83,0.05,-9.7,0.04,-1.543574975,-9.65979688,0.223606798,-9.783641421,0.225610283,kyle,kaepora,-9.65979688,0.223606798,-9.7,0.04
92,1,2002g,-11.98,0.05,-11.93,0.13,-2.712264962,-11.68268869,0.255538647,-11.72867269,0.225610283,avg,kaepora,-11.70568069,0.240574465,-11.955,0.09
109,18,2002ha,-11.19,0.09,-10.38,0.04,-1.172610381,-10.32436599,0.223606798,-11.10489474,0.237697286,matt,kaepora,-11.10489474,0.237697286,-11.19,0.09
112,21,2002he,-12.57,0.05,-12.3,0.04,-0.191836017,-12.27882549,0.223606798,-12.54716791,0.225610283,matt,kaepora,-12.54716791,0.225610283,-12.57,0.05
129,38,2002hu,-7.79,0.2,-10.25,0.13,-1.220314134,-10.19710337,0.255538647,-7.830112198,0.297321375,kyle,kaepora,-10.19710337,0.255538647,-10.25,0.13
183,92,2002hw,-10.8,0.08,-10.28,0.09,-3.64067132,-10.13004951,0.237697286,-10.59548651,0.234093998,kyle,kaepora,-10.13004951,0.237697286,-10.28,0.09
223,132,2002jg,-11.39,0.1,-10.72,0.12,-3.547940127,-10.52836397,0.250599282,-11.12966871,0.241660919,matt,kaepora,-11.12966871,0.241660919,-11.39,0.1
163,72,2003cq,-11.39,0.19,-11.77,0.17,-0.336560271,-11.73870451,0.278028775,-11.36277851,0.290688837,avg,kaepora,-11.55074151,0.284358806,-11.58,0.18
119,28,2003du,-10.8,0.09,-10.32,0.05,-1.205631227,-10.26510011,0.225610283,-10.72716224,0.237697286,matt,kaepora,-10.72716224,0.237697286,-10.8,0.09
182,91,2003gt,-11.39,0.07,-10.92,0.05,-5.436241498,-10.61177049,0.225610283,-11.0117545,0.230867928,matt,kaepora,-11.0117545,0.230867928,-11.39,0.07
105,14,2003he,-11.19,0.04,-10.96,0.04,2.742474596,-11.16428705,0.223606798,-11.41656514,0.223606798,avg,kaepora,-11.2904261,0.223606798,-11.075,0.04
178,87,2003kf,-11.39,0.05,-11.32,0.04,-3.980559411,-11.03948441,0.223606798,-11.10153158,0.225610283,avg,kaepora,-11.070508,0.224608541,-11.355,0.045
225,134,2003w,-14.73,0.13,-15.79,0.08,-1.154332625,-15.54132149,0.234093998,-14.51930918,0.255538647,avg,kaepora,-15.03031533,0.244816322,-15.26,0.105
173,82,2004as,-11.78,0.1,-12.34,0.09,-0.981528352,-12.23310567,0.237697286,-11.69026235,0.241660919,matt,kaepora,-11.69026235,0.241660919,-11.78,0.1
179,88,2004at,-10.8,0.05,-10.93,0.04,0.21741079,-10.94465739,0.223606798,-10.8137409,0.225610283,kyle,kaepora,-10.94465739,0.223606798,-10.93,0.04
215,124,2004bw,-10.9,0.08,-11.21,0.03,6.409985805,-11.82355379,0.222036033,-11.43292803,0.234093998,avg,kaepora,-11.62824091,0.228065016,-11.055,0.055
78,79,2004dt,-20.07,0.37,-13.72864392,0.047800022,1.185408147,-13.92221554,0.225132943,-20.51522785,0.430464865,kyle,Altavilla2007,-13.92221554,0.225132943,-13.72864392,0.047800022
238,147,2004ef,-12.27,0.11,-11.99,0.12,-0.890920536,-11.90245888,0.250599282,-12.17465035,0.245967478,avg,kaepora,-12.03855462,0.24828338,-12.13,0.115
77,78,2004eo,-10.19,0.09,-5.045152066,0.025230353,1.554548988,-4.8446097,0.221442026,-10.26056108,0.237697286,matt,Pastorello2007,-10.26056108,0.237697286,-10.19,0.09
59,59,2004ey,-11.1,0.17,-10.85672332,0.117439485,-1.457743206,-10.76679403,0.249383305,-10.99916344,0.278028775,matt,CSP,-10.99916344,0.278028775,-11.1,0.17
141,50,2004fz,-10.61,0.07,-10.07,0.03,-5.114269238,-9.897630237,0.222036033,-10.36127711,0.230867928,matt,kaepora,-10.36127711,0.230867928,-10.61,0.07
28,28,2004gc,-10.02,0.06,-9.754914428,0.063215761,8.656278087,-10.1042563,0.228902233,-10.47178353,0.228035085,matt,CSP,-10.47178353,0.228035085,-10.02,0.06
207,116,2004gs,-11.39,0.3,-11,0.12,-1.288928115,-10.91436051,0.250599282,-11.28881917,0.372021505,matt,kaepora,-11.28881917,0.372021505,-11.39,0.3
14,14,2004gu,-11.1,0.07,-11.60477643,0.115778108,-4.061845615,-11.28625678,0.24860525,-10.83986462,0.230867928,matt,CSP,-10.83986462,0.230867928,-11.1,0.07
72,72,2005a,-13.15,0.27,-12.24672688,0.073837883,4.034956425,-12.75381077,0.232060408,-13.79196696,0.348281495,matt,CSP,-13.79196696,0.348281495,-13.15,0.27
235,144,2005ag,-11.29,0.26,-11.41,0.1,-1.135595139,-11.31972568,0.241660919,-11.20395882,0.340587727,kyle,kaepora,-11.31972568,0.241660919,-11.41,0.1
199,108,2005am,-12.86,0.14,-13.09,0.06,-3.850506761,-12.62239069,0.228035085,-12.41776186,0.260768096,kyle,kaepora,-12.62239069,0.228035085,-13.09,0.06
172,81,2005bc,-10.9,1.78,-10.59,0.05,1.510505737,-10.67890972,0.225610283,-11.00475844,1.793543978,matt,kaepora,-11.00475844,1.793543978,-10.9,1.78
46,46,2005be,-11,0.14,-10.82182864,0.139647253,7.425120773,-11.44111196,0.260578885,-11.67526726,0.260768096,avg,CSP,-11.55818961,0.260673491,-10.91091432,0.139823627
44,44,2005bg,-10.31,0.07,-10.3696105,0.066735241,2.277282371,-10.48978516,0.229899092,-10.42545761,0.230867928,avg,CSP,-10.45762139,0.23038351,-10.33980525,0.068367621
52,52,2005bl,-10.7,0.19,-10.50351941,0.497558347,-3.340689817,-10.34301562,0.544026018,-10.52041349,0.290688837,kyle,CSP,-10.34301562,0.544026018,-10.50351941,0.497558347
50,50,2005bo,-10.9,0.04,-10.60396899,0.058335875,0.458002415,-10.6302092,0.227602887,-10.93067133,0.223606798,matt,CSP,-10.93067133,0.223606798,-10.9,0.04
